artifact_dir,test_id,timestamp,interface_name,interface_type,interface_device,mac_address,link_speed,ssid,bssid,last_tx_rate_mbps,channel,tcp_dl_mbps,tcp_ul_mbps,udp_dl_mbps,udp_dl_jitter_ms,udp_dl_packet_loss_pct,udp_ul_mbps,udp_ul_jitter_ms,udp_ul_packet_loss_pct,ping_wan_mean_ms,ping_wan_std_ms,label
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_103758_20251105_103758,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_103758,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,1.2332121053409444,1.6759913065750918,4.993102303604442,3.0903327520104216,21.50537634408602,5.000901875397343,2.3974140885176363,0.388651379712398,62.71228,35.307896728305224,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_103942_20251105_103942,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_103942,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,3.0911555042654952,2.720751619898,4.98885497021871,2.22231737947154,7.93036750483559,5.001187374398865,3.521660988225856,0.544535200311163,65.01904,38.6762280320871,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_104127_20251105_104127,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_104127,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,1.8501539771751483,0.837996490419781,4.98603649327334,3.0877562606421254,11.00196463654224,5.00115152497606,2.54339960238713,0.38880248833592534,54.613772727272725,24.60424516784087,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_104314_20251105_104314,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_104314,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,2.066956249541695,2.0949719721657645,4.997162275438935,2.489211868945876,5.977011494252873,5.0011835137987,2.440298953535131,0.07776049766718507,56.96569565217391,32.482542998907725,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_104459_20251105_104459,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_104459,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,1.420725782537769,1.8854845692769708,4.99455324536126,1.8565639292462734,8.742004264392325,4.999818354943233,2.342353295230994,0.15552099533437014,70.532,31.11496357759049,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_104645_20251105_104645,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_104645,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,1.4467450349661377,1.8855203571090344,4.999669620063073,2.2292308321000025,9.368191721132897,5.000902874553582,3.226957885858366,0.777302759424796,70.89533333333333,32.17111455845652,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_104829_20251105_104829,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_104829,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,1.0313564723378474,0.8383130462555766,4.994490423379934,2.015883549597769,10.297029702970297,4.999542615396697,2.214311603765772,0.583203732503888,72.9965652173913,47.05647941939373,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_105014_20251105_105014,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_105014,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,3.313440700306633,1.2580121729000509,4.987985005891554,3.171577146588582,0.6198347107438017,5.000894881314842,2.4213062346002876,0.932763311309755,73.68392,46.13877227444759,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_105200_20251105_105200,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_105200,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,1.0195028375807107,0.8379809200339643,4.995905627294564,2.199634340985834,7.7369439071566735,5.001350536707964,2.164283182960981,0.582977069568597,66.21495652173913,37.740981661461205,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_105345_20251105_105345,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_105345,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,2.2714382152931436,1.2569914708191732,4.99478733727053,3.5125605258170864,10.062893081761006,5.0017654686491335,2.4889057148295692,0.19447685725398678,61.1234347826087,32.96036668599272,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
